,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
182,... < 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,40,none,own,2,unskilled - resident,2,none,yes,bad
183,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,3777,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
184,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,bad
185,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,none,yes,good
186,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,bad
187,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",68,none,for free,3,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,good
188,... < 0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,20,none,own,1,skilled employee / official,1,none,yes,bad
189,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
190,no checking account,24,existing credits paid back duly till now,business,4591,... >= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,54,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
191,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,none,yes,bad
192,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,bad
193,no checking account,6,existing credits paid back duly till now,radio/television,2108,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,good
194,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,bad
195,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
196,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
197,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",27,bank,rent,4,skilled employee / official,1,none,yes,bad
198,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
199,0 <= ... < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
200,no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 <= ... < 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",52,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
201,... < 0 DM,12,existing credits paid back duly till now,car (new),1168,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,good
202,no checking account,27,delay in paying off in the past,business,5117,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,own,2,skilled employee / official,1,none,yes,good
203,... < 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,bad
204,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,good
205,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
206,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,good
207,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,good
208,... < 0 DM,24,existing credits paid back duly till now,business,6568,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",21,stores,own,1,unskilled - resident,1,none,yes,good
209,no checking account,12,existing credits paid back duly till now,car (used),1413,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,none,no,good
210,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,good
211,no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
212,... < 0 DM,27,no credits taken/ all credits paid back duly,business,5293,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
213,... >= 200 DM / salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
214,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",51,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
215,0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,good
216,... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
217,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,3913,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
218,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,good
219,no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",64,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
220,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,... < 100 DM,... < 1 year,4,female : divorced/separated/married,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,good
221,... < 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
222,no checking account,12,existing credits paid back duly till now,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,bank,own,2,skilled employee / official,1,none,yes,good
223,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,32,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
224,no checking account,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
225,no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",27,none,own,2,skilled employee / official,1,none,yes,good
226,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,10961,... >= 1000 DM,4 <= ... < 7 years,1,female : divorced/separated/married,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
227,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
228,no checking account,9,existing credits paid back duly till now,radio/television,1478,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",22,none,own,1,skilled employee / official,1,none,yes,bad
229,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,none,yes,good
230,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4210,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,own,1,skilled employee / official,1,none,yes,bad
231,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,good
232,no checking account,12,existing credits paid back duly till now,radio/television,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,good
233,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,866,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,good
234,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,good
235,... < 0 DM,24,existing credits paid back duly till now,radio/television,1823,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,bad
236,0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,bad
237,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",61,bank,rent,2,unskilled - resident,1,none,yes,bad
238,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,good
239,... < 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes,good
240,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",29,bank,own,1,skilled employee / official,1,none,yes,bad
241,no checking account,6,existing credits paid back duly till now,radio/television,1595,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes,good
242,... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,bad
243,no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,good
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,good
245,no checking account,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
246,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,good
247,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,good
248,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,1925,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,good
249,no checking account,18,existing credits paid back duly till now,radio/television,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,bad
250,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
251,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",46,none,own,1,unskilled - resident,1,none,yes,good
252,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,bad
253,no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,good
254,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
255,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,good
256,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,good
257,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,bad
258,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
259,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,good
260,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,good
261,... < 0 DM,24,existing credits paid back duly till now,radio/television,1603,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",55,none,own,1,skilled employee / official,1,none,yes,good
262,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
263,no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,good
264,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,good
265,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,802,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",37,none,own,1,skilled employee / official,2,none,yes,bad
266,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
267,no checking account,24,existing credits paid back duly till now,radio/television,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
268,... < 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,bad
269,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",25,none,own,2,skilled employee / official,1,none,yes,good
270,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no,good
271,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
272,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,female : divorced/separated/married,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
273,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,bad
274,... < 0 DM,30,existing credits paid back duly till now,repairs,11998,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,good
276,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,own,2,skilled employee / official,1,none,yes,good
277,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,bad
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
280,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,... >= 1000 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,good
282,... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",49,bank,own,1,unskilled - resident,1,none,yes,good
283,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes,good
284,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
285,... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
286,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,good
287,0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
288,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
289,... < 0 DM,24,delay in paying off in the past,radio/television,1024,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,bad
290,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,good
291,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
292,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
293,... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,good
294,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,good
295,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
296,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",20,none,rent,1,skilled employee / official,1,none,yes,good
297,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no,good
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
299,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
300,no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,good
301,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
302,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,bad
