Name,CodigoProvincia,CCAA,Population,TotalCensus,AbstentionPtge,AbstencionAlta,Izda_Pct,Dcha_Pct,Otros_Pct,Izquierda,Derecha,Age_0-4_Ptge,Age_under19_Ptge,Age_19_65_pct,Age_over65_pct,WomanPopulationPtge,ForeignersPtge,SameComAutonPtge,SameComAutonDiffProvPtge,DifComAutonPtge,UnemployLess25_Ptge,Unemploy25_40_Ptge,UnemployMore40_Ptge,AgricultureUnemploymentPtge,IndustryUnemploymentPtge,ConstructionUnemploymentPtge,ServicesUnemploymentPtge,totalEmpresas,Industria,Construccion,ComercTTEHosteleria,Servicios,ActividadPpal,inmuebles,Pob2010,SUPERFICIE,Densidad,PobChange_pct,PersonasInmueble,Explotaciones
Maldà,25,Cataluña,228,195,42.051,1,7.08,6.195,84.071,0,0,3.509,14.036,53.948,32.017,48.684,3.95,90.789,19.298,5.702,7.143,50,42.857,0,28.571,0,64.286,19,0,0,0,0,Otro,257,258,1383.011,MuyBaja,-11.63,0.89,97
Massalcoreig,25,Cataluña,564,403,38.462,1,15.323,16.532,62.5,0,0,3.369,12.944,63.83,23.227,46.631,18.44,71.454,4.61,10.106,22.222,11.111,66.667,22.222,0,0,66.667,21,0,0,0,0,Otro,296,590,2614.35,MuyBaja,-4.41,1.91,109
Massoteres,25,Cataluña,189,136,35.294,1,12.5,10.227,76.136,0,0,5.82,25.398,56.614,17.988,44.444,13.76,80.952,25.926,3.704,0,33.333,66.667,0,0,0,100,15,0,0,0,0,Otro,134,212,5771.81,MuyBaja,-10.85,1.41,45
Menàrguens,25,Cataluña,849,623,40.77,1,8.401,14.092,75.881,0,0,3.298,13.898,60.66,25.441,44.523,15.67,78.681,7.067,5.889,0,46.154,53.846,11.538,15.385,11.538,61.538,50,0,0,0,0,Otro,554,867,1482.7502,MuyBaja,-2.08,1.53,81
Miralcamp,25,Cataluña,1390,1028,41.634,1,12,11.666,73.5,0,0,5.755,20.143,59.785,20.073,50,8.71,84.245,5.468,6.978,4.688,42.188,53.125,23.438,12.5,1.563,62.5,95,15,25,35,20,ComercTTEHosteleria,579,"1,424",2674.1226,MuyBaja,-2.39,2.4,99
Mollerussa,25,Cataluña,14900,8585,40.093,1,13.961,17.305,66.712,0,0,6.617,23.63,63.053,13.315,48.913,28.41,62.054,6.597,10.369,5.376,46.953,47.67,15.651,12.186,7.168,56.989,"1,062",110,155,339,458,Servicios,"7,084","14,733",2913.29,Alta,1.13,2.1,24
Montellà i Martinet,25,Cataluña,586,467,37.045,1,6.803,8.504,81.973,0,0,1.536,12.457,62.97,24.573,45.392,4.78,82.594,35.836,10.068,0,40,60,5,5,0,90,56,0,0,0,0,Otro,656,671,17692.0772,MuyBaja,-12.67,0.89,19
Montferrer i Castellbò,25,Cataluña,1010,788,44.797,1,5.517,14.482,76.782,0,0,5.842,18.613,65.05,16.336,45.941,8.81,74.653,18.416,10.495,7.407,37.037,55.556,3.704,7.407,3.704,85.185,115,6,27,46,36,ComercTTEHosteleria,968,"1,086",2946.02,MuyBaja,-7,1.04,51
Montgai,25,Cataluña,663,569,36.204,1,8.54,17.356,72.176,0,0,2.866,12.972,53.998,33.032,47.662,1.96,91.403,10.407,6.184,10.526,36.842,52.632,0,15.789,10.526,68.421,42,0,0,0,0,Otro,397,718,5508.222,MuyBaja,-7.66,1.67,130
Montoliu de Lleida,25,Cataluña,514,364,37.088,1,4.803,11.791,80.786,0,0,2.529,16.537,59.338,24.123,49.416,14.4,80.35,2.918,4.475,0,36.364,63.636,0,9.091,0,90.909,38,0,0,0,0,Otro,307,495,1213.72,MuyBaja,3.84,1.67,25
Montoliu de Segarra,25,Cataluña,194,153,37.908,1,0,13.684,86.316,0,0,2.062,13.402,60.309,26.289,44.845,4.64,87.629,34.021,3.608,0,50,50,0,16.667,0,83.333,13,0,0,0,0,Otro,173,197,735.7837,MuyBaja,-1.52,1.12,47
Montornès de Segarra,25,Cataluña,101,84,33.333,1,12.5,19.643,66.071,0,0,1.98,12.871,53.465,33.664,50.495,0.99,98.02,30.693,0.99,0,50,50,25,0,0,75,5,0,0,0,0,Otro,62,104,966.81,MuyBaja,-2.88,1.63,25
Nalec,25,Cataluña,95,86,24.419,0,4.615,6.153,86.154,0,0,1.053,5.264,53.685,41.053,48.421,6.32,82.105,15.789,9.474,0,0,100,0,0,0,100,0,0,0,0,0,Otro,119,98,14558.077,MuyBaja,-3.06,0.8,21
Naut Aran,25,Cataluña,1760,1353,35.625,1,16.762,38.691,41.906,0,0,3.807,17.898,69.603,12.501,49.432,7.22,66.648,15.625,21.932,3.448,65.517,31.034,3.448,13.793,10.345,72.414,264,8,24,97,135,Servicios,"3,750","1,729",2367.61,MuyBaja,1.79,0.47,91
Navès,25,Cataluña,281,227,38.326,1,1.429,13.571,82.857,0,0,5.694,19.573,59.43,20.997,51.601,1.78,90.391,27.046,6.05,10,60,30,20,10,10,50,26,0,0,0,0,Otro,220,276,11446.51,MuyBaja,1.81,1.28,57
Odèn,25,Cataluña,253,219,43.379,1,1.613,14.516,83.871,0,0,1.581,9.091,63.636,27.273,42.688,7.91,90.909,7.115,0.791,0,75,25,50,0,0,50,14,0,0,0,0,Otro,127,264,3184.4632,MuyBaja,-4.17,1.99,53
Oliana,25,Cataluña,1842,1385,30.469,1,9.761,14.33,74.559,0,0,3.746,15.31,58.307,26.385,49.891,12.81,76.656,8.795,9.066,2.778,33.333,63.889,11.111,33.333,5.556,45.833,127,10,14,62,41,ComercTTEHosteleria,"1,204","1,945",8645.0295,MuyBaja,-5.3,1.53,23
Oliola,25,Cataluña,233,181,36.464,1,2.609,22.609,70.435,0,0,1.717,13.734,59.227,27.038,45.064,6.44,90.987,13.305,2.146,0,33.333,66.667,33.333,0,0,66.667,8,0,0,0,0,Otro,127,232,5517.6977,MuyBaja,0.43,1.83,77
Olius,25,Cataluña,910,685,37.956,1,5.647,13.882,77.412,0,0,7.473,27.254,57.033,15.713,47.802,2.2,89.341,19.56,6.813,0,66.667,33.333,0,33.333,8.333,58.333,118,0,0,0,0,Otro,487,841,1909.08,MuyBaja,8.2,1.87,55
Organyà,25,Cataluña,845,647,34.93,1,9.026,15.914,74.347,0,0,2.959,13.492,57.159,29.349,50.533,10.06,77.751,12.899,10.059,21.429,28.571,50,7.143,28.571,0,50,77,0,0,0,0,Otro,792,942,13502.9075,MuyBaja,-10.3,1.07,23
Os de Balaguer,25,Cataluña,995,783,30.651,1,8.84,13.812,74.954,0,0,4.322,21.207,57.891,20.905,49.648,4.12,86.131,7.94,8.844,8.571,40,51.429,11.429,17.143,2.857,65.714,70,0,0,0,0,Otro,675,987,2602.6103,MuyBaja,0.81,1.47,119
Ossó de Sió,25,Cataluña,213,181,36.464,1,1.739,20.87,70.435,0,0,5.164,16.901,53.991,29.108,48.826,0.94,93.897,21.596,5.164,12.5,12.5,75,0,62.5,0,37.5,16,0,0,0,0,Otro,210,226,1236.2936,MuyBaja,-5.75,1.01,48
Penelles,25,Cataluña,482,376,35.638,1,6.612,11.983,78.099,0,0,3.734,13.9,58.3,27.8,42.531,5.39,87.552,12.656,6.846,5.263,31.579,63.158,31.579,10.526,10.526,42.105,28,0,0,0,0,Otro,229,502,5567.3353,MuyBaja,-3.98,2.1,82
Peramola,25,Cataluña,343,285,37.193,1,4.469,12.85,79.888,0,0,2.041,13.12,58.308,28.572,48.98,9.04,84.548,13.411,6.706,0,28.571,71.429,0,42.857,0,57.143,22,0,0,0,0,Otro,344,387,9097.1976,MuyBaja,-11.37,1,43
Pinell de Solsonès,25,Cataluña,207,181,39.227,1,2.727,19.091,75.455,0,0,4.348,14.493,57.972,27.536,42.512,2.9,95.169,9.662,1.932,0,100,0,0,0,0,100,14,0,0,0,0,Otro,161,215,10444.5208,MuyBaja,-3.72,1.29,55
Pinós,25,Cataluña,305,230,40,1,0,18.841,78.986,0,0,5.574,19.016,57.05,23.935,45.246,3.93,91.803,28.197,2.623,20,40,40,20,0,20,60,22,0,0,0,0,Otro,148,315,885.83,MuyBaja,-3.17,2.06,78
Ponts,25,Cataluña,2632,1797,34.891,1,6.325,15.555,75.214,0,0,4.217,19.3,58.055,22.644,50.418,18.12,74.05,7.941,6.725,7.634,40.458,51.908,10.687,12.977,10.687,55.725,218,19,35,97,67,ComercTTEHosteleria,"1,999","2,744",14838.9684,MuyBaja,-4.08,1.32,57
Prats i Sansor,25,Cataluña,251,186,37.097,1,1.709,21.368,76.068,0,0,2.789,15.936,64.543,19.522,47.809,7.57,80.876,47.809,7.968,0,33.333,66.667,0,0,11.111,88.889,32,0,0,0,0,Otro,505,245,2134.76,MuyBaja,2.45,0.5,10
Preixana,25,Cataluña,407,309,30.097,1,2.315,20.371,74.537,0,0,3.194,16.707,51.106,32.186,49.877,-2.7,89.435,12.776,4.177,0,87.5,12.5,12.5,0,12.5,75,29,0,0,0,0,Otro,244,437,2875.014,MuyBaja,-6.86,1.67,92
Preixens,25,Cataluña,458,368,38.587,1,7.522,12.389,80.088,0,0,3.493,16.156,50.436,33.406,48.908,4.59,85.59,13.974,9.17,8.696,13.043,78.261,13.043,17.391,21.739,47.826,28,0,0,0,0,Otro,289,478,2118.8734,MuyBaja,-4.18,1.58,95
Prullans,25,Cataluña,206,162,36.42,1,4.854,6.796,86.408,0,0,2.913,13.593,58.252,28.155,49.029,9.22,81.553,25.728,6.311,0,25,75,0,25,0,75,19,0,0,0,0,Otro,271,245,982.97,MuyBaja,-15.92,0.76,18
Puiggròs,25,Cataluña,295,234,38.889,1,4.196,15.385,79.72,0,0,5.085,18.984,55.257,25.764,48.136,0.68,92.203,16.61,6.78,5.882,35.294,58.824,23.529,11.765,11.765,47.059,11,0,0,0,0,Otro,147,311,1702.7718,MuyBaja,-5.14,2.01,61
Puigverd d'Agramunt,25,Cataluña,244,172,28.488,0,9.756,13.821,70.732,0,0,4.098,15.573,60.656,23.773,42.623,16.39,78.689,9.426,6.967,11.111,66.667,22.222,22.222,22.222,0,55.556,10,0,0,0,0,Otro,136,275,1240.6118,MuyBaja,-11.27,1.79,50
Puigverd de Lleida,25,Cataluña,1405,1036,36.293,1,14.545,20.758,62.576,0,0,3.843,20.497,60,19.501,48.399,6.76,79.929,5.979,11.744,1.639,47.541,50.82,13.115,3.279,9.836,73.77,75,5,15,34,21,ComercTTEHosteleria,756,"1,390",6280.7707,?,1.08,1.86,96
Rialp,25,Cataluña,655,499,34.669,1,8.589,8.589,79.755,0,0,3.664,17.557,65.191,17.25,48.092,9.16,77.099,24.733,11.603,0,47.619,52.381,0,4.762,14.286,80.952,77,0,0,0,0,Otro,578,654,10694.022,MuyBaja,0.15,1.13,18
Ribera d'Ondara,25,Cataluña,429,375,33.6,1,5.221,21.285,71.084,0,0,3.497,13.521,58.042,28.438,47.552,-4.55,91.375,32.634,6.061,11.111,50,38.889,0,16.667,5.556,66.667,40,0,0,0,0,Otro,279,454,12377.7086,MuyBaja,-5.51,1.54,85
Ribera d'Urgellet,25,Cataluña,978,692,42.197,1,12.25,14,71.5,0,0,5.01,18.711,62.27,19.017,47.444,15.64,71.677,17.076,8.589,5.263,52.632,42.105,10.526,2.632,15.789,65.789,72,0,0,0,0,Otro,657,982,4740.977,MuyBaja,-0.41,1.49,68
Riner,25,Cataluña,267,213,41.784,1,1.613,13.71,80.645,0,0,5.243,16.104,57.678,26.218,50.936,4.49,91.011,21.723,2.622,20,80,0,20,0,20,60,13,0,0,0,0,Otro,152,292,989.8594,MuyBaja,-8.56,1.76,38
Riu de Cerdanya,25,Cataluña,104,86,22.093,0,7.463,5.97,82.09,0,0,1.923,11.538,73.077,15.385,42.308,1.92,92.308,67.308,5.769,0,0,100,0,0,0,100,8,0,0,0,0,Otro,154,111,1809.9082,MuyBaja,-6.31,0.68,6
Rosselló,25,Cataluña,3043,2110,43.223,1,11.102,18.531,68.531,0,0,5.619,21.886,63.95,14.164,49.458,12.69,73.809,6.211,12.816,6.107,45.038,48.855,6.107,12.214,10.687,64.122,165,14,30,66,55,ComercTTEHosteleria,"1,504","2,950",2068.0124,Baja,3.15,2.02,61
Salàs de Pallars,25,Cataluña,359,262,29.389,0,12.973,3.243,82.703,0,0,5.571,13.649,59.332,27.019,46.24,15.6,75.209,25.348,6.685,0,35.714,64.286,7.143,0,7.143,78.571,29,0,0,0,0,Otro,436,334,3294.57,MuyBaja,7.49,0.82,29
Sanaüja,25,Cataluña,427,334,38.623,1,7.805,17.561,72.195,0,0,2.108,18.267,54.566,27.165,48.712,7.49,87.119,18.735,4.684,11.111,44.444,44.444,0,11.111,11.111,77.778,46,0,0,0,0,Otro,317,458,2515.73,MuyBaja,-6.77,1.35,52
Sant Esteve de la Sarga,25,Cataluña,144,113,49.558,1,7.018,15.789,77.193,0,0,1.389,10.417,61.112,28.472,38.194,9.72,75,13.194,13.889,0,50,50,0,0,0,100,6,0,0,0,0,Otro,184,144,1231.98,MuyBaja,0,0.78,26
Sant Guim de Freixenet,25,Cataluña,1078,743,39.569,1,5.345,16.481,74.833,0,0,4.917,17.812,58.999,23.191,48.33,15.86,76.716,24.026,5.844,11.111,22.222,66.667,16.667,27.778,5.556,41.667,89,10,15,36,28,ComercTTEHosteleria,762,"1,114",416.6043,Baja,-3.23,1.41,65
Sant Guim de la Plana,25,Cataluña,174,133,33.083,1,4.494,8.989,84.27,0,0,3.448,16.092,53.448,30.46,45.977,9.2,86.207,17.816,2.874,0,50,50,50,0,0,50,7,0,0,0,0,Otro,116,192,4148.3499,MuyBaja,-9.38,1.5,42
Sant Llorenç de Morunys,25,Cataluña,977,759,36.1,1,4.33,7.423,86.804,0,0,4.299,16.479,54.963,28.557,51.075,10.34,82.395,24.36,5.834,0,50,50,0,15,20,55,102,0,0,0,0,Otro,"1,251","1,077",1886.67,MuyBaja,-9.29,0.78,6
Sant Martí de Riucorb,25,Cataluña,689,567,35.626,1,4.11,16.987,74.247,0,0,3.483,13.787,53.846,32.366,46.589,4.06,90.131,14.804,5.08,7.692,26.923,65.385,7.692,7.692,15.385,65.385,42,0,0,0,0,Otro,507,685,10846.8273,MuyBaja,0.58,1.36,132
Sant Ramon,25,Cataluña,506,423,41.844,1,2.846,17.886,76.016,0,0,2.174,12.45,57.51,30.04,46.047,6.52,87.945,14.822,4.941,6.667,20,73.333,0,66.667,0,33.333,53,0,0,0,0,Otro,291,569,9338.6387,MuyBaja,-11.07,1.74,54
Sarroca de Bellera,25,Cataluña,125,112,34.821,1,5.479,27.397,61.644,0,0,0,1.6,67.2,31.2,36.8,4,92,16.8,2.4,0,50,50,16.667,16.667,16.667,50,16,0,0,0,0,Otro,284,136,3472.5413,MuyBaja,-8.09,0.44,38
Sarroca de Lleida,25,Cataluña,387,329,35.258,1,11.268,4.225,84.507,0,0,1.292,9.819,54.781,35.401,44.961,3.1,93.54,5.426,3.359,14.286,57.143,28.571,14.286,0,14.286,71.429,28,0,0,0,0,Otro,234,433,8697.049,MuyBaja,-10.62,1.65,151
Senterada,25,Cataluña,133,104,29.808,0,17.808,6.849,73.973,0,0,2.256,9.775,73.684,16.541,39.85,15.79,76.692,27.82,6.767,0,20,80,10,0,0,90,16,0,0,0,0,Otro,214,142,1515.8411,MuyBaja,-6.34,0.62,14
Seròs,25,Cataluña,1886,1231,40.617,1,13.68,18.605,66.074,0,0,4.931,16.756,59.969,23.277,45.652,-8.4,70.042,4.348,8.006,4.762,35.714,59.524,16.667,9.524,11.905,47.619,112,14,21,43,34,ComercTTEHosteleria,"1,029","1,867",815.7036,Baja,1.02,1.83,287
Sidamon,25,Cataluña,732,566,32.509,1,7.33,15.969,71.99,0,0,5.601,21.994,61.065,16.941,48.224,5.19,82.24,8.47,12.158,0,33.333,66.667,6.061,27.273,6.061,60.606,42,0,0,0,0,Otro,311,758,1261.39,MuyBaja,-3.43,2.35,38
Solsona,25,Cataluña,9004,6212,40.277,1,9.272,12.399,76.253,0,0,5.32,21.746,60.027,18.225,49.967,14.87,73.612,13.505,9.085,6.612,41.736,51.653,6.818,19.215,14.463,50,827,58,158,305,306,Servicios,"5,324","9,219",10610.4814,MuyBaja,-2.33,1.69,70
Soriguera,25,Cataluña,385,331,44.713,1,7.104,6.011,85.792,0,0,3.117,15.066,67.273,17.663,46.494,6.23,86.234,31.169,6.753,6.667,33.333,60,0,13.333,0,86.667,25,0,0,0,0,Otro,245,377,10513.1468,MuyBaja,2.12,1.57,32
Sort,25,Cataluña,2199,1495,33.445,1,9.347,11.859,76.181,0,0,5.23,20.737,61.937,17.326,50.477,15.14,72.442,17.963,9.004,4.225,52.113,43.662,1.408,5.634,8.451,83.099,321,8,48,141,124,ComercTTEHosteleria,"2,033","2,387",3014.72,MuyBaja,-7.88,1.08,75
Soses,25,Cataluña,1728,1108,38.177,1,13.577,15.475,69.343,0,0,5.961,20.776,59.896,19.33,47.975,22.11,73.785,2.72,6.481,0,37.037,62.963,33.333,3.704,3.704,59.259,127,15,20,56,36,ComercTTEHosteleria,671,"1,763",825.8874,Baja,-1.99,2.58,180
Sudanell,25,Cataluña,847,680,43.235,1,6.995,14.767,75.389,0,0,3.66,13.696,62.811,23.493,44.156,7.2,82.999,5.549,8.264,9.091,45.455,45.455,18.182,4.545,13.636,63.636,57,0,0,0,0,Otro,454,878,1266.4434,MuyBaja,-3.53,1.87,60
Sunyer,25,Cataluña,325,233,33.906,1,5.844,17.532,72.078,0,0,2.462,13.538,60.924,25.538,44.615,18.46,78.769,2.462,3.692,16.667,50,33.333,0,16.667,0,66.667,14,0,0,0,0,Otro,163,307,2782.4913,MuyBaja,5.86,1.99,45
Talarn,25,Cataluña,582,345,30.435,1,8.75,24.583,65,0,0,2.062,13.231,71.821,14.949,37.629,3.95,54.467,16.667,37.629,10.526,31.579,57.895,5.263,0,21.053,63.158,33,0,0,0,0,Otro,243,395,3061.63,MuyBaja,47.34,2.4,62
Talavera,25,Cataluña,262,226,38.938,1,0,18.841,78.986,0,0,1.527,14.123,52.672,33.206,44.275,3.05,95.038,34.351,1.908,0,0,100,0,0,0,100,13,0,0,0,0,Otro,168,302,8796.49,MuyBaja,-13.25,1.56,62
Tàrrega,25,Cataluña,16444,10625,40.527,1,11.125,14.496,71.878,0,0,5.905,23.236,61.05,15.715,50.426,19.14,70.238,11.609,9.164,6.29,41.841,51.869,11.577,12.58,8.842,56.7,"1,332",102,174,513,543,Servicios,"9,197","17,189",1308.31,Alta,-4.33,1.79,356
Tarrés,25,Cataluña,103,81,20.988,0,3.125,1.562,92.188,0,0,5.825,15.534,58.25,26.214,44.66,0,94.175,24.272,4.854,0,0,100,0,50,0,50,0,0,0,0,0,Otro,89,109,790.45,MuyBaja,-5.5,1.16,19
Tarroja de Segarra,25,Cataluña,178,141,27.66,0,0,14.706,84.314,0,0,6.18,16.293,59.551,24.158,48.876,3.37,92.135,21.91,3.933,50,0,50,0,25,0,25,10,0,0,0,0,Otro,122,169,2757.58,MuyBaja,5.33,1.46,17
Térmens,25,Cataluña,1531,1015,37.537,1,8.833,19.085,71.609,0,0,3.135,15.48,61.724,22.796,49.902,19.79,72.044,3.788,6.793,4.255,31.915,63.83,10.638,21.277,4.255,59.574,97,8,15,48,26,ComercTTEHosteleria,726,"1,528",875.8323,Baja,0.2,2.11,148
Tírvia,25,Cataluña,153,122,33.607,1,8.642,7.407,83.951,0,0,3.922,11.765,64.053,24.183,50.327,3.92,85.621,20.261,9.804,16.667,50,33.333,0,16.667,16.667,50,9,0,0,0,0,Otro,158,159,1561.73,MuyBaja,-3.77,0.97,5
Tiurana,25,Cataluña,72,66,21.212,0,3.846,23.077,71.154,0,0,2.778,13.89,52.778,33.334,51.389,0,93.056,5.556,4.167,0,0,0,0,0,0,0,0,0,0,0,0,Otro,48,81,9329.3154,MuyBaja,-11.11,1.5,6
Torà,25,Cataluña,1232,922,40.022,1,5.244,7.956,83.544,0,0,3.247,16.965,61.039,21.998,50.244,12.5,81.006,18.831,6.494,11.111,33.333,55.556,11.111,24.444,11.111,48.889,105,8,22,46,29,ComercTTEHosteleria,799,"1,367",1336.2403,MuyBaja,-9.88,1.54,87
Tornabous,25,Cataluña,885,564,36.879,1,3.371,12.641,83.708,0,0,4.52,16.272,57.178,26.555,47.232,24.63,73.107,9.944,4.746,5.882,55.882,38.235,8.824,11.765,23.529,50,58,0,0,0,0,Otro,495,863,2775.9483,MuyBaja,2.55,1.79,82
Torrebesses,25,Cataluña,286,253,38.735,1,5.806,13.548,76.774,0,0,3.147,13.287,54.195,32.517,47.203,1.75,93.007,9.441,3.846,0,66.667,33.333,0,16.667,16.667,66.667,19,0,0,0,0,Otro,247,299,16553.0341,?,-4.35,1.16,107
Torrefarrera,25,Cataluña,4611,3035,36.31,1,11.743,19.659,66.632,0,0,6.354,26.524,63.174,10.301,49.404,12.45,77.077,6.962,9.998,7.353,51.471,41.176,7.353,5.147,5.147,77.941,435,24,58,210,143,ComercTTEHosteleria,"2,018","4,151",4074.4951,Baja,11.08,2.28,91
Torrefeta i Florejacs,25,Cataluña,604,494,46.154,1,3.008,14.286,80.075,0,0,2.98,15.066,54.801,30.133,47.185,-4.47,87.417,20.199,5.96,8.696,39.13,52.174,8.696,4.348,17.391,56.522,34,0,0,0,0,Otro,471,617,10228.8617,MuyBaja,-2.11,1.28,148
Torregrossa,25,Cataluña,2255,1558,35.302,1,14.782,18.849,63.591,0,0,5.366,18.315,58.893,22.795,49.313,-0.64,79.911,3.902,3.37,1.351,58.108,40.541,16.216,8.108,8.108,56.757,163,13,30,74,46,ComercTTEHosteleria,"1,131","2,251",1081.117,Baja,0.18,1.99,309
Torrelameu,25,Cataluña,706,486,32.099,1,6.97,13.333,78.485,0,0,3.824,15.155,62.465,22.38,43.343,17.99,77.054,4.108,4.249,5.556,55.556,38.889,11.111,16.667,5.556,66.667,42,0,0,0,0,Otro,341,690,5056.6446,MuyBaja,2.32,2.07,71
Torres de Segre,25,Cataluña,2271,1397,37.437,1,12.7,18.077,67.506,0,0,4.447,17.437,63.671,18.89,48.393,25.36,68.032,4.491,7.53,7.792,33.766,58.442,25.974,5.195,2.597,63.636,136,18,14,79,25,ComercTTEHosteleria,"1,026","2,080",580.5768,Baja,9.18,2.21,213
Torre-serona,25,Cataluña,379,275,35.273,1,14.607,16.854,66.292,0,0,3.43,17.414,57.519,25.064,49.868,14.78,78.1,4.485,7.916,0,61.538,38.462,15.385,15.385,7.692,61.538,46,0,0,0,0,Otro,150,350,30246.8425,MuyBaja,8.29,2.53,35
Tremp,25,Cataluña,6175,4279,40.5,1,12.962,15.593,69.049,0,0,4.211,19.434,58.541,22.024,50.413,16.49,68.761,11.158,11.547,8.309,43.62,48.071,10.682,5.341,13.056,62.018,452,17,80,179,176,ComercTTEHosteleria,"4,836","6,368",3433.95,Baja,-3.03,1.28,146
Vall de Cardós,25,Cataluña,368,293,31.058,1,9.406,15.841,71.287,0,0,5.163,15.761,62.771,21.468,46.739,8.15,78.804,21.467,6.522,20,60,20,0,20,0,80,29,0,0,0,0,Otro,554,422,3483.3,MuyBaja,-12.8,0.66,16
Vallbona de les Monges,25,Cataluña,256,204,31.373,1,4.286,10,81.429,0,0,3.125,11.719,54.689,33.595,46.875,2.73,89.844,34.766,5.078,0,60,40,10,50,10,30,18,0,0,0,0,Otro,295,251,16943.8828,MuyBaja,1.99,0.87,47
Vallfogona de Balaguer,25,Cataluña,1880,1383,33.116,1,9.297,21.297,67.027,0,0,6.543,19.416,63.67,16.915,50.798,9.42,80,6.33,9.947,4,50.667,45.333,13.333,5.333,4,74.667,171,20,25,73,53,ComercTTEHosteleria,916,"1,788",3584.97,MuyBaja,5.15,2.05,115
Verdú,25,Cataluña,947,720,36.667,1,7.675,14.035,76.535,0,0,2.957,15.735,54.593,29.673,52.27,9.72,81.309,16.051,6.653,0,50,50,18.421,10.526,13.158,57.895,68,0,0,0,0,Otro,647,"1,005",21140.78,MuyBaja,-5.77,1.46,116
Vielha e Mijaran,25,Cataluña,5450,3646,39.852,1,19.562,38.851,38.896,0,0,5.321,19.009,69.522,11.467,49.229,19.67,53.468,12.606,22.128,3.763,54.839,41.398,1.613,5.376,13.441,77.419,682,15,142,243,282,Servicios,"4,703","5,636",1967.46,Baja,-3.3,1.16,79
Vilagrassa,25,Cataluña,522,361,38.227,1,12.108,19.282,65.022,0,0,5.747,22.413,59.96,17.625,48.276,13.6,74.521,11.111,10.92,4.167,33.333,62.5,8.333,20.833,4.167,66.667,22,0,0,0,0,Otro,343,458,5878.9863,MuyBaja,13.97,1.52,69
Vilaller,25,Cataluña,566,435,33.563,1,20.415,19.724,55.017,0,0,3.534,15.195,62.367,22.437,46.466,11.13,65.901,10.954,22.261,7.692,69.231,23.077,7.692,0,30.769,61.538,40,0,0,0,0,Otro,600,696,1538.0138,MuyBaja,-18.68,0.94,15
Vilamòs,25,Cataluña,164,123,46.341,1,13.636,39.394,45.455,0,0,3.049,19.512,71.341,9.148,43.902,-5.39,71.951,32.317,20.732,0,40,60,0,0,0,100,12,0,0,0,0,Otro,145,202,1390.63,MuyBaja,-18.81,1.13,5
Vilanova de Bellpuig,25,Cataluña,1175,891,33.558,1,3.209,6.25,88.514,0,0,5.702,17.787,53.703,28.51,48.596,8.51,87.574,7.234,3.66,13.514,29.73,56.757,10.811,21.622,8.108,48.649,69,9,18,24,18,ComercTTEHosteleria,582,"1,194",5350.2939,MuyBaja,-1.59,2.02,102
Vilanova de la Barca,25,Cataluña,1099,728,37.225,1,12.035,20.569,65.646,0,0,5.278,18.018,59.598,22.386,50.318,20.11,71.247,4.277,7.825,4.348,32.609,63.043,21.739,8.696,4.348,65.217,81,8,10,39,24,ComercTTEHosteleria,523,"1,235",3747.44,MuyBaja,-11.01,2.1,116
Vilanova de l'Aguda,25,Cataluña,218,182,45.604,1,4.04,21.213,72.727,0,0,2.294,13.762,55.046,31.193,50.459,-1.92,95.413,9.174,2.752,0,0,100,0,0,0,100,10,0,0,0,0,Otro,117,235,10478.0539,MuyBaja,-7.23,1.86,61
Vilanova de Meià,25,Cataluña,424,345,39.13,1,6.667,8.572,81.905,0,0,4.245,13.208,56.369,30.425,45.047,5.9,89.387,18.632,3.774,0,41.667,58.333,16.667,25,0,58.333,27,0,0,0,0,Otro,525,420,848.9313,MuyBaja,0.95,0.81,90
Vilanova de Segrià,25,Cataluña,940,707,37.341,1,6.546,18.736,74.041,0,0,4.894,17.553,62.445,19.999,47.128,11.06,78.298,6.383,10.106,2.703,45.946,51.351,5.405,5.405,10.811,78.378,61,0,0,0,0,Otro,543,862,1898.8,MuyBaja,9.05,1.73,83
Vila-sana,25,Cataluña,718,548,37.409,1,5.539,18.95,72.595,0,0,6.128,19.778,60.307,19.915,50,9.33,82.591,7.103,7.382,4.762,57.143,38.095,0,14.286,19.048,66.667,109,0,0,0,0,Otro,325,688,1884.51,MuyBaja,4.36,2.21,96
Vinaixa,25,Cataluña,526,417,28.537,0,8.725,14.094,75.839,0,0,2.852,13.498,57.985,28.516,49.049,5.7,83.46,19.202,10.646,0,38.235,61.765,11.765,26.471,2.941,55.882,33,0,0,0,0,Otro,410,609,5643.4821,MuyBaja,-13.63,1.28,105
Ábalos,26,Rioja,252,195,17.436,0,40.373,54.037,1.863,0,1,4.365,16.667,57.54,25.793,40.476,12.7,67.46,0,21.825,20,40,40,20,20,0,40,28,0,0,0,0,Otro,218,369,3486.2,MuyBaja,-31.71,1.16,66
Agoncillo,26,Rioja,1123,830,23.855,0,40.19,57.279,0.949,0,1,3.473,15.672,62.155,22.172,43.544,13.45,65.45,0,19.145,9.091,33.333,57.576,15.152,27.273,9.091,42.424,96,31,8,32,25,ComercTTEHosteleria,836,"1,102",5410.8355,MuyBaja,1.91,1.34,75
