ID,Beneficio,Compra,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,Etiqueta,CalifProductor,Clasificacion,Region,PrecioBotella
2366,0,0,0.18,1.52,1.25,0.031,0.96139,3.94,,4.4,M,2,?,3,1.54
2367,0,0,0.76,1.28,2.2,0.095,1.01202,3.91,0.57,11.7,MB,2,*,3,3.44
2368,798,1,0.26,0.27,1.9,0.048,0.9938,3.89,-0.81,10,M,2,***,1,4.1
2371,658,1,0.53,0.35,15.3,0.507,0.9998,3.27,1.52,9.6,B,3,**,,2.03
2373,806,1,1.34,-1.25,61.8,,0.99346,2.72,0.47,10,b,2,****,1,3.58
2379,503,1,1.12,0.34,2.8,0.042,0.99179,3.82,0.47,9.8,M,2,*,3,1.04
2381,488,1,-0.96,0.07,1.4,0.279,0.9973,4.28,1.98,11.2,M,3,**,3,5.38
2382,508,1,0.52,0.31,117.6,0.036,1.03224,3.19,0.91,11.9,M,2,***,2,3.01
2384,639,1,0.98,1.46,18.4,0.201,1.02293,3.2,-0.68,9.4,r,3,**,3,3.22
2385,517,1,0.15,0.18,8.6,-0.367,0.99166,0.61,-0.81,4.8,B,2,**,2,3.16
2387,0,0,0.28,3.52,1.5,0.119,0.9918,2.98,0.39,17.2,R,3,?,2,1.42
2388,454,1,0.27,1.41,26.5,-0.053,0.94732,3.22,0.44,20.9,R,3,?,2,4.32
2391,0,0,0.28,-0.08,3.95,0.038,0.99146,4.96,0.54,15,R,2,?,3,6.45
2392,355,1,0.25,1.36,99999,0.051,0.9928,3.21,1.76,11.5,M,4,?,3,1.03
2394,764,1,-1.19,-0.94,21.4,0.139,0.9954,3.25,0.54,10.4,R,2,**,1,1.65
2395,352,1,0.4,0.24,8.5,-0.513,0.99626,3.2,-2.11,12,m,3,*,3,3.25
2396,731,1,0.22,0.29,-35.2,-0.469,0.98393,3.05,-0.21,9.8,MB,2,***,3,2.12
2400,565,1,0.52,0.34,-29.7,0.087,0.9982,2.38,,18.7,R,5,?,2,1
2401,1070,1,-0.19,0.31,12.2,0.12,1.01974,3.15,0.31,12,B,2,***,2,2.34
2405,366,1,0.3,0.4,19.5,-0.269,0.99445,3.19,2.25,9.8,R,3,***,3,1
2407,301,1,0.15,1.87,49,0.613,0.96622,3.29,0.31,10,M,2,**,2,1.07
2408,696,1,-1.18,0.31,1,0.622,0.95913,2.79,0.37,10.1,B,4,*,1,2.89
2415,832,1,0.72,0.76,-62.2,0.036,0.9628,3.29,1.31,12.4,r,2,***,1,1.58
2417,0,0,0.32,-0.32,8.1,-0.948,0.9957,3.96,0.55,13.5,R,1,?,2,1.66
2418,0,0,0.97,0,-46.9,0.08,0.97108,2.84,1.14,5.4,M,4,?,1,3.36
2420,609,1,0.2,0.15,6.6,0.292,0.95075,2.99,-0.7,9.9,R,2,*,3,1
2427,548,1,-1.11,0.21,1,0.212,0.9927,,-1.01,8,M,2,**,2,3.08
2429,463,1,-0.76,0.27,10.7,0.076,0.9967,3.05,0.64,3.6,R,2,?,3,2.14
2432,532,1,0.23,0.29,57.4,-0.164,1.00089,2.44,0.41,4.7,R,1,**,3,2.46
2433,381,1,1.68,0.35,5.3,0.03,0.96414,2.72,0.42,11.5,M,3,**,3,1.63
2437,0,0,0.56,0.53,-14.1,0.074,0.98857,3.2,1.13,6.2,R,5,?,3,1
2438,421,1,0.24,1.37,-14.6,0.06,0.994,3.44,-0.83,19.4,r,1,**,3,3.46
2440,318,1,0.4,0.31,25,-0.521,0.99358,2.96,0.59,16.8,M,3,***,2,1
2441,786,1,0.18,0.27,6.5,0.147,0.98892,3.35,,15,R,1,**,2,2.13
2443,1054,1,0.65,0.39,-45.2,0.091,0.9945,3.25,,13.8,B,2,****,1,4.59
2446,738,1,0.27,-2.64,7.8,0.048,0.97267,3.09,0.92,9.5,R,2,**,1,4.41
2447,341,1,-0.77,0.69,-54.6,-0.098,1.03829,3.04,-0.92,9.4,M,3,*,2,4.22
2453,252,1,1.59,0.78,-57.1,0.043,0.99236,3.06,1.39,10.5,M,3,*,2,1
2454,343,1,-0.57,0.37,-15.2,-0.069,0.99817,3.21,0.53,9.4,M,2,**,1,4.14
2456,330,1,0.39,0.16,-12.1,0.08,0.9955,3.34,-1.05,5.1,R,2,*,2,1.92
2458,516,1,0.35,1.14,13.9,-0.034,0.96506,2,1.91,19,M,3,?,1,2.72
2463,735,1,-0.55,0.84,99999,0.515,0.9938,3.3,-0.38,9.4,R,3,**,1,1.07
2466,0,0,2.055,-0.91,2.5,-0.379,0.97799,3.53,0.57,5.3,M,3,?,1,1.37
2469,239,1,0.22,-0.91,1.5,0.051,0.9928,2.05,1.38,8.8,M,2,**,3,1.05
2473,0,0,1.55,-0.07,3.5,0.203,0.99135,2.01,1.08,18.1,R,4,*,1,3.13
2474,369,1,0.59,0.26,12,0.07,0.9981,3.37,0.49,9.1,M,3,?,3,1.89
2478,699,1,0.305,-1.27,1.1,0.369,0.95972,3.33,0.56,10.6,B,1,***,2,3.8
2479,504,1,-0.58,0.34,99999,0.042,0.99052,3,2.13,11.4,B,2,*,1,2.72
2480,517,1,2.82,-0.84,29.9,0.588,1.03659,4.09,0.78,3.3,MB,3,**,3,6.45
2481,399,1,0.2,0.28,7.5,0.04,1.04464,3.94,-1.22,3.2,M,4,*,3,1.12
2484,601,1,-2.43,-0.04,11.6,0.032,0.9963,3.05,0.51,9.8,R,3,**,2,2.38
2488,530,1,1.73,-1.24,46.2,0.091,1.01264,3.55,-0.22,5.8,R,3,***,3,1.92
2489,996,1,0.22,0.36,5.5,-0.344,1.04361,4.01,0.47,5,B,2,?,3,1.68
2490,915,1,0.21,0.32,86.1,0.264,0.98667,2.51,1.15,10,R,3,***,3,2.69
2492,340,1,0.24,0.61,7.9,-0.144,0.99545,3.35,0.52,6.4,R,2,?,1,2.01
2493,0,0,0.31,-1.31,99999,0.038,0.9928,3.36,0.63,10.3,B,2,?,2,4.45
2494,0,0,0.53,0.99,1.9,0.505,1.02216,3.26,-0.9,118,R,3,?,1,1.67
2496,490,1,0.15,2.21,5.9,0.045,0.9983,,0.4,9.3,B,2,***,3,3.04
2497,262,1,0.63,0.21,1.6,-0.394,1.03408,3.58,2.01,9.8,M,2,?,3,2.89
2499,787,1,0.33,-0.89,47.3,0.283,0.99226,3.06,-0.4,12.2,R,2,*,1,1.16
2502,745,1,0.3,0.68,64.6,-0.367,0.9406,0.92,0.45,9.2,b,4,**,2,4.68
2507,823,1,-0.4,0.68,-0.2,-0.161,0.99064,3.19,-1.51,11.7,R,2,***,2,1.17
2513,227,1,-0.07,-0.09,11.9,0.171,0.9972,3,0.37,6.2,M,3,**,3,1.25
2515,0,0,-0.8,0.04,59.4,0.06,0.97668,2.27,0.35,9.2,R,2,?,1,4.91
2516,877,1,0.28,1.36,-46.6,0.03,0.99042,3.01,-0.43,7.7,R,2,?,3,4.29
2519,688,1,0.24,-1.43,6.7,-0.531,0.9963,2.67,,9.8,R,3,**,2,1.66
2520,697,1,0.22,0.22,16.65,0.435,0.97568,4.43,1.84,9,R,1,*,2,1.5
2522,0,0,1.8,1.32,2,-0.036,0.9593,3.35,0.58,17.7,R,2,?,1,6.37
2526,458,1,0.32,2.47,31.3,0.353,0.99611,2.54,1.21,6.4,B,2,***,2,1.05
2533,409,1,0.27,0.55,3.9,-0.23,1.04612,,2.05,105,b,3,*,2,1.66
2537,320,1,-0.38,0.9,-103.3,-0.533,1.01753,3.08,0.46,9.9,M,2,**,3,3.47
2542,319,1,1.18,-0.71,11.8,0.62,1.03323,3.8,0.31,12,M,3,***,2,2
2546,779,1,-1.16,0.22,36.8,-0.524,0.99571,3.2,0.13,10.1,R,1,**,1,4.36
2547,0,0,1.7,0.1,60.3,-0.259,0.99855,3.96,0.49,9.5,B,4,?,1,5.53
2548,548,1,0.4,0.02,29.2,0.047,1.07757,2.95,,9.6,M,2,*,3,5.59
2550,0,0,0.27,0.3,1.6,-0.247,0.99089,3.12,-0.58,7.5,R,2,*,3,4.46
2553,519,1,3.08,-0.25,99999,0.052,0.94293,2.67,1.97,10,r,2,**,3,3.11
2554,884,1,0.22,0.31,-61.4,0.296,1.00758,4.01,-0.64,13,R,3,***,1,3.09
2555,0,0,-0.14,0.39,1.5,-0.166,0.95522,4.16,1.02,10,m,5,?,,1.03
2556,749,1,-1.15,-0.7,-7.7,0.05,0.99612,3.07,2.07,15.7,B,3,***,1,2.46
2558,487,1,1.06,-0.62,99999,0.643,0.98873,2.17,1.2,10.8,R,4,*,2,1.71
2560,339,1,0.23,-0.18,2.1,0.027,0.99054,2.37,1.98,17.7,MM,2,*,1,6
2563,559,1,1.29,0.22,1.5,0.563,0.99238,2.68,,10.2,B,2,***,2,1.79
2564,0,0,0.98,-0.64,1.7,-0.059,0.9916,3.21,0.44,11.5,R,3,?,2,3.26
2565,689,1,0.17,0.17,27.4,0.049,0.90692,3,0.38,16.9,R,2,***,1,1.85
2568,954,1,1.27,0.42,6.6,0.493,0.98599,2.98,-0.39,9.6,R,4,***,1,6.82
2569,477,1,-0.11,-0.49,-11.8,0.308,0.9912,3.06,0.52,12.4,M,2,*,1,1.44
2574,0,0,0.47,0.95,99999,-0.048,0.95715,3.56,-0.75,10.6,R,2,*,2,1.46
2579,701,1,-0.52,-0.73,10.4,-0.071,0.99203,4.02,0.37,10.6,B,1,***,2,2.61
2583,449,1,-1.435,-0.82,-12.45,0.047,1.00677,3.23,0.53,18,M,3,****,1,3.83
2585,527,1,-0.05,0.08,22.7,-0.442,0.9942,3.41,-0.67,11,R,2,****,1,1.27
2586,309,1,0.41,0.02,0.9,,1.02278,3.14,-0.89,5.5,B,2,**,2,3.98
2587,501,1,0.31,0.47,-39.8,0.053,0.96456,3.29,-1.86,4.5,R,1,**,3,3.54
2591,468,1,0.4,0.52,1.3,0.148,0.99709,3.08,,8.7,R,3,***,3,2.08
2592,446,1,-1.17,0.33,1.15,0.044,1.02005,2.67,0.44,8,M,2,?,1,1.9
2593,0,0,-0.53,-0.33,1.8,-0.085,0.99552,3.41,0.76,7,M,4,?,1,6.23
2594,809,1,1.6,0.85,60.3,0.874,0.94353,3.61,0.43,10.2,B,2,**,2,3.73
2595,1130,1,3,0.4,8.1,0.046,0.99494,2.47,0.5,9.5,MB,2,**,3,2.29
2596,323,1,0.28,0.46,15.4,0.069,1.0004,3.27,0.91,9,B,4,**,1,1.46
2597,619,1,1.08,0.32,99999,0.622,1.02225,3.27,1.27,10.2,R,2,*,2,2.44
2600,111,1,2.43,0.22,-31.3,-0.037,0.97732,2.1,-0.66,11.6,M,3,?,1,1.25
2601,530,1,0.41,0.23,28.2,0.919,0.99928,3,0.49,9.7,R,3,**,1,1.96
2604,538,1,0.49,1.69,1.9,0.074,0.99706,,,5.6,R,3,*,2,4.31
2610,204,1,0.16,-1.49,1.5,-0.089,0.99076,3.43,,12,MM,1,***,1,2.67
2613,622,1,0.14,-0.28,1,-0.546,0.99043,4.04,0.54,11.4,R,2,**,,4.08
2617,0,0,-0.64,-0.54,2.4,,0.97543,3.24,1.74,9.5,r,5,?,2,3.34
2620,348,1,0.24,3.12,80.3,0.035,0.95411,2.8,0.44,9.6,M,1,*,1,2.59
2625,0,0,0.34,0.49,1.4,0.075,0.99543,3.13,0.74,16.8,B,8,?,3,1
2626,0,0,0.415,0.19,1.6,0.039,1.04133,2.99,,15.2,M,1,?,3,2.16
2628,379,1,2.93,0.51,8,0.062,0.99545,3.13,0.5,13.7,R,2,**,3,2.22
2629,227,1,0.33,-0.93,38.1,-0.748,0.99882,3.17,-0.35,16,MM,4,*,1,3.23
2630,550,1,1.14,-0.92,50.1,0.045,1.01143,2.05,1.93,6.3,R,4,*,3,1.76
2633,521,1,1.02,-0.72,52.8,-0.234,0.99628,1.37,0.91,9.4,b,3,***,1,2.75
2638,880,1,0.22,-1.88,-10.5,0.046,0.94958,3.94,1.23,15.4,B,2,**,3,2.25
2639,541,1,0.07,-0.69,65,0.029,1.02422,3.05,2.21,12.6,M,3,**,2,3.24
2642,0,0,-0.22,0.52,99999,-0.067,0.94791,3.31,0.77,11.2,M,7,?,3,4.81
2643,908,1,0.5,0.49,53.9,-0.008,0.9926,4.36,0.27,12.7,R,4,****,2,4.15
2644,0,0,0.73,1.67,99999,-0.501,0.9976,,-2.15,4.9,B,5,?,3,1
2647,1035,1,0.23,0.39,55.7,0.215,1.01668,4.3,1.8,12.7,B,3,**,1,2.45
2654,881,1,0.13,-0.94,-75.3,-0.11,0.99118,3.08,,8.2,b,3,****,3,1.08
2656,833,1,-0.62,0.34,-35,0.484,0.98949,3.46,0.5,5.5,B,2,***,1,1.71
2657,996,1,0.265,0.19,28.6,0.363,0.99704,2.69,-0.07,143,b,1,****,2,5.44
2658,412,1,0.22,0.49,-23.2,0.037,0.9951,1.82,-1.27,10.6,M,4,**,1,3.98
2662,0,0,1.5,0.26,2.5,0.097,0.94366,3.27,0.92,3.6,R,5,*,1,2.64
2663,587,1,0.25,0.24,5.2,-0.28,0.94674,3.16,2.2,10.7,m,2,**,2,3.91
2664,650,1,-0.62,0.08,-2.1,0.07,0.99358,4.44,3.25,12.5,M,2,**,3,3.13
2672,868,1,-0.94,-0.19,18.3,0.526,0.992,3.12,0.38,10.7,B,4,***,1,2.17
2674,756,1,0.22,0.32,9.3,0.351,1.04244,1.64,0.54,10.7,M,2,?,2,5.69
2675,0,0,-0.75,0.57,2.4,,0.99356,3.33,0.84,9.5,R,4,?,2,2.82
2677,448,1,1.41,0.38,7.2,0.474,1.01481,4.37,0.5,9.6,B,2,***,1,3.47
2685,585,1,0.22,0.28,2.2,0.504,0.9917,4.4,1.1,10.5,m,2,*,2,5.82
2686,774,1,0.35,-0.58,11.95,-0.511,0.99687,3.11,0.29,9.7,B,3,**,2,2.35
2692,182,1,1.73,-0.23,22.7,0.053,0.993,2.43,0.7,11.4,MM,2,**,1,2.42
2693,892,1,0.21,-1.33,8.1,0.047,1.04098,4.25,1.9,130,B,3,***,1,1.85
2697,690,1,1.58,0,6.3,,0.9924,2,1.26,5.2,r,3,***,3,1.83
2700,575,1,1.29,1.36,10.3,0.623,0.94667,3.62,2.11,11.5,M,2,**,2,4.4
2701,755,1,-0.12,-2.73,12.15,-0.085,1.0283,2.85,,10.8,b,4,***,1,1.5
2705,502,1,0.21,0.34,1.4,0.009,0.99091,2.97,1.38,11,R,2,**,2,2.13
2707,0,0,1.57,0.49,34.6,0.094,1.03671,3.08,0.59,9.1,m,5,?,2,1
2710,400,1,0.31,1.65,2.2,-0.506,0.9926,3.37,-0.03,14,R,2,?,1,1
2712,499,1,0.445,0.56,7.7,0.04,0.94728,4.17,0,15.3,B,4,*,2,1.3
2713,531,1,1.04,0.35,-21.2,0.416,1.02985,3.05,-0.45,8.9,r,3,?,1,1.37
2717,446,1,0.33,0.14,4.8,0.052,1.01384,3.21,0.48,9.4,R,2,***,2,1.23
2719,785,1,0.3,0.32,57,0.045,1.04331,3.09,0.33,7.5,B,3,****,1,5.96
2720,146,1,1.17,0.35,42.8,0.051,0.96568,2.76,-0.95,11,M,2,?,3,2.72
2721,521,1,0.41,0.72,1.15,,0.97384,3.37,0.38,11.4,MB,2,***,2,1
2722,309,1,0.18,1.26,8.1,1.172,1.04253,3.11,0.54,11.3,MM,2,?,1,2
2724,581,1,0.41,0.27,42.8,0.629,0.99672,1.77,0.41,14.4,R,2,*,1,1.65
2726,704,1,1.08,0.32,-24.2,-0.956,1.04402,3.18,-0.93,9.6,B,2,****,1,4.09
2727,355,1,0.24,0.34,54.2,-0.308,1.00758,5.13,-0.95,16.7,M,2,*,2,1.97
2728,460,1,0.52,-0.67,-34,0.047,0.99542,3.19,0.48,15.8,R,2,**,3,1.83
2729,604,1,0.56,-0.78,99999,0.303,0.99695,3.32,-1.11,3,R,3,**,3,1
2732,330,1,-0.32,-1.05,10.9,-0.074,0.9948,3.3,,13.3,M,2,**,2,3.85
2734,778,1,1.1,0.68,1.5,0.05,0.9946,3.32,1.25,14.9,R,3,*,1,4.82
2735,260,1,0.2,0.38,-26.8,-0.348,1.0004,3.34,1.82,6.9,MM,4,?,1,5.39
2737,0,0,0.19,-0.52,99999,,0.9932,3.2,0,16.8,r,3,?,3,2.74
2739,0,0,0.5,2.1,-47.4,-0.416,1.0002,3.19,0.44,9.5,B,8,**,1,1.73
2744,170,1,0.27,0.69,23.2,0.308,1.02435,3.06,0.47,9.7,MM,3,*,2,4.91
2746,335,1,-1.08,0.39,2,-0.404,0.96975,1.84,0.52,10.9,R,4,***,1,2.29
2748,480,1,1.075,0.19,58.7,0.37,0.98977,3.34,0.56,10,R,3,*,3,1.48
2749,339,1,0.75,0.25,-32.1,-0.424,0.95487,3.39,1.47,14.3,M,1,**,1,2
2751,905,1,0.62,-1.27,47.1,-0.442,0.99042,3.48,-1.16,12,mb,3,***,3,1.61
2752,319,1,0.28,-0.06,8,0.048,0.99498,4.33,-0.55,4.6,R,2,?,3,2.24
2754,420,1,2.3,0.32,-10.5,0.256,0.99215,2.7,1.67,10.8,M,2,?,1,4.75
2761,0,0,-0.13,0.2,18.1,-0.115,1.02884,3.15,0.5,7.2,m,2,?,2,1.6
2762,582,1,0.25,-0.52,62.4,0.082,0.9995,3.03,-0.59,9.2,b,4,**,3,1.9
2764,0,0,0.33,0.14,8.1,0.416,0.9911,3.32,0.27,12.1,R,2,*,2,2.15
2770,550,1,0.92,-0.42,2.4,0.087,0.99045,2.77,0.44,9.4,R,6,**,2,1.15
2772,670,1,0.42,0.89,-39,-0.465,1.02855,4.29,0.64,15.9,R,2,***,3,1.8
2773,0,0,0.5,0.33,2.2,0.051,0.95054,5.09,1.52,4.1,R,2,?,2,1.59
2774,489,1,-0.12,0.36,-39.1,0.036,0.99573,3.04,0.32,17.7,B,3,***,3,1.79
2778,428,1,0.27,-1.02,1.2,0.018,0.97664,3.87,-1.03,10.3,M,1,*,2,2.61
2784,713,1,0.84,0.35,2.6,0.431,0.99146,3.22,,11.3,R,2,*,3,5.99
2785,473,1,1.56,1.75,6.6,0.123,0.9953,1.96,2.09,9.4,R,2,**,2,4.39
2787,428,1,0.3,1.85,10.6,0.039,0.99815,3.27,0.3,9.3,M,3,?,1,7.07
2790,943,1,0.24,-0.77,12.75,0.451,0.99386,2.43,0.57,12.9,b,2,****,1,3.32
2793,394,1,0.35,0.35,1.1,0.045,0.992,3.34,0.68,3.6,MM,1,*,,6.25
2797,0,0,1.94,0.64,2.6,0.086,0.9662,3.38,0.74,10.7,R,3,?,3,1.32
2799,0,0,0.34,-0.86,2,0.481,0.9964,3.34,0.59,15.6,M,4,**,3,1.1
2801,258,1,1.8,-0.97,2.1,0.18,1.04206,2.35,0.64,13.4,M,2,?,2,3.41
2809,0,0,1.84,-1.05,-14.3,0.035,0.98916,3.87,,7.7,M,2,*,3,1.05
2812,366,1,0.13,0.46,0.9,-0.532,0.97426,3.7,0.35,11.2,R,2,?,2,3.94
2823,172,1,1.08,0.19,2.2,0.093,0.99994,2.97,,11.3,M,4,?,3,6.62
2827,710,1,-0.81,0.29,11.9,-0.404,0.95249,3.02,0.58,10.4,B,2,***,2,1.03
2834,510,1,0.3,0.47,54.9,0.202,0.9927,3.19,0.45,9.5,R,2,**,1,1.73
2835,234,1,-1.21,0.35,7.8,-0.104,1.03298,4.33,0.79,6,MM,2,*,2,1
2837,543,1,0.34,0.25,12.1,0.059,1.02835,3.14,0.56,13.1,M,2,**,1,1.94
2838,872,1,0.98,0.25,17.9,0.03,1.05289,4.56,0.44,8.9,R,2,***,1,2.94
2840,556,1,0.88,0.33,7.4,0.123,0.99268,3.25,0.49,9.6,B,1,***,1,1.94
2841,424,1,1.76,-2,12.7,-0.052,1.01801,3.63,0.59,9.3,M,3,*,3,1.75
2842,764,1,0.25,0.32,10.3,0.041,0.9969,3.83,0.52,9.1,r,3,*,1,3.37
2844,572,1,0.75,0.5,71.8,0.036,0.97286,3.34,-0.59,11,R,2,*,3,2.07
2845,150,1,0.34,0.36,1.4,0.125,1.00261,3.65,0.47,9.4,M,4,**,2,1.78
2849,521,1,0.36,0.31,4.1,0.061,1.02871,3.18,0.28,4.2,M,2,*,3,3.81
2852,0,0,0.34,-1.04,-115.5,-0.345,1.02578,,-0.26,9.3,R,2,*,3,5.21
2854,0,0,1.53,-1.04,50,0.599,0.98698,3.89,-1.78,12.5,B,2,?,3,6.82
2855,0,0,0.34,0.4,-49.5,0.046,0.94404,3.38,0.23,4.4,M,2,?,1,3.92
2857,467,1,1.11,1.74,14.9,-0.234,0.99705,3.14,-0.38,9.7,R,2,**,,2.44
2858,753,1,0.27,0.46,-53.5,0.034,1.02054,2.84,1.81,11.1,R,2,**,2,3.09
2859,362,1,1.13,-0.46,11.8,-0.118,0.95014,3.49,0.66,2.7,M,1,**,2,1.21
2861,463,1,0.69,0.25,99999,-0.062,0.99668,3.19,3.6,124,B,4,**,3,1
2868,619,1,0.7,0.06,1.9,,0.99628,3.4,0.01,10.9,B,4,***,3,1.17
2870,597,1,0.16,0.3,50.3,0.579,1.0443,,1.78,19.2,R,1,*,3,5.94
2871,0,0,-0.1,0.3,-122.7,0.048,1.02724,3.33,0.44,10.1,M,2,?,1,1.28
2876,360,1,-0.69,0.43,-45.7,0.581,0.9918,3.23,0.53,14.4,M,3,*,2,4.43
2877,739,1,0.33,3.14,112.9,0.052,0.99475,4.38,2.01,12.1,B,2,***,3,1.02
2878,667,1,0.43,0.49,13,0.033,0.94895,5.52,0.35,11.3,R,4,*,2,2.27
2881,428,1,0.24,0.31,2.3,0.579,0.99013,3.29,0.15,12.9,M,2,***,2,2.16
2883,868,1,0.18,0.44,99999,0.045,0.9924,3.15,0.46,14.2,R,3,**,2,2.13
2891,511,1,-0.06,0.02,15.6,0.179,1.0004,,0.82,8.9,M,4,**,1,3.12
2893,868,1,-0.59,-0.54,2,,0.94658,3.37,2.06,11,R,2,?,3,6.92
2894,0,0,1.15,0.05,35.5,0.317,1.00575,4.56,0.11,10.1,MM,3,?,3,1.72
2896,493,1,-0.67,0.39,-16.5,-0.435,0.99054,3.27,0.27,11.5,M,2,*,3,6.06
2899,0,0,-1.06,0.23,-37.1,0.045,0.99731,2.23,0.99,10.5,B,3,?,3,1.4
2900,783,1,0.26,1.17,-48.3,-0.22,1.00361,3.09,0.72,11.6,B,4,****,3,2.83
2903,694,1,0.44,-0.82,-54.8,0.039,1.02288,2.53,0.86,9.9,R,6,**,3,3.22
2904,634,1,-0.65,0.44,99999,0.161,0.99685,3.11,,9.1,B,2,***,1,2.75
2906,593,1,1.35,0.29,24.6,0.036,0.99168,2.59,0.43,12.2,R,3,**,3,1.7
2909,501,1,-0.41,-0.8,1.1,-0.261,0.98483,3.15,0.45,11,R,2,***,2,1.04
2911,1119,1,0.73,0.28,7.8,-0.276,0.96835,2.96,0.6,7,r,2,***,1,5.47
2912,0,0,0.95,2.02,14.35,0.578,1.01397,3.32,0.88,8.7,R,5,**,2,1.66
2913,599,1,0.33,-0.55,7.8,0.052,0.99657,3.39,0.65,9.5,r,2,*,1,2.39
2923,417,1,1.61,0.71,45.6,-0.515,0.9983,2.99,0.3,9.2,r,3,***,2,6.25
2926,261,1,0.85,-0.3,53.3,0.046,0.9998,5.03,0.39,8.7,M,3,*,2,1
2929,617,1,-0.015,0.33,25.8,0.049,0.9927,2.97,1.01,10,B,1,*,1,2.83
2932,509,1,1.16,-1.07,1.6,,0.9961,3.23,0.59,10.3,R,3,**,3,1.13
2936,300,1,0.17,-1.66,2.9,0.636,0.99243,3.45,,10,R,1,**,2,1.56
2937,715,1,0.75,0.27,28.5,-0.212,1.04625,3.29,,9.1,B,4,**,1,2.84
2938,353,1,1.69,0.41,101,0.046,0.99672,4.31,,4.6,M,2,**,3,4.91
2941,940,1,0.01,0.66,-50,,0.98675,3.34,0.79,25.1,R,5,***,2,1.55
2942,108,1,0.6,-1.03,1.3,0.042,1.01814,3.61,1.95,9.8,M,2,?,1,3.47
2943,0,0,1.22,0.24,12.1,0.046,1.03297,2.99,,9.5,B,2,?,3,2.21
2944,300,1,0.31,0.19,56,0.086,0.993,1.56,0.44,7.4,R,2,*,3,1.51
2945,0,0,0.38,-0.19,-105.8,0.06,1.02275,2.6,1.2,10.6,b,2,?,,4.2
2947,599,1,-1.1,-0.94,49.2,0.036,0.9932,2.53,0.01,10.5,B,4,**,3,4.08
2948,288,1,-0.16,0.31,1.8,0.249,0.97737,2.02,0.87,9.4,m,3,*,2,1.33
2950,793,1,0.32,0.55,-18.6,,0.95545,2.96,,8.7,R,3,***,3,1.51
2954,559,1,0.865,0.03,-29.1,0.449,0.995,2.48,0.44,18.2,R,2,**,3,5.09
2956,898,1,1.2,0.32,-19.4,-0.689,0.99452,2.28,2.05,10.5,B,2,**,1,1.93
2958,290,1,0.485,-0.14,1.5,0.065,0.994,3.63,2.11,9.7,R,1,*,3,4.79
2959,0,0,0.21,0.44,99999,,0.99055,3.07,1.51,9.2,R,11,?,1,3.35
2960,730,1,0.3,1.62,30.75,0.025,0.9928,2.6,0.32,8.8,R,3,**,2,2.53
2968,0,0,1.06,0.93,30.9,-0.902,0.94133,3.16,-1.12,9.3,R,2,?,2,3.62
2971,337,1,1.1,-0.52,4.9,0.035,0.9995,3.19,0.58,12.3,MM,3,**,2,1.83
2979,720,1,0.27,0.69,3.2,0.384,0.97473,3.04,-0.57,11.4,R,3,**,1,1.39
2980,471,1,-0.8,0.26,99999,-0.321,1.02193,3.27,0.43,9.7,R,1,***,1,3.75
2981,704,1,0.24,0.55,-41,-0.43,0.97599,4.06,-0.73,9.2,MB,2,*,3,7.4
2985,571,1,0.56,0.93,68,0.042,0.98767,4.44,0.48,5.4,R,1,**,2,1.34
2987,548,1,0.46,0.18,50.8,0.034,0.9896,3.08,-2.69,13.3,R,2,**,1,1.28
2991,801,1,0.26,0.49,-32.1,0.032,1.03584,2.25,-1.05,6.4,M,3,**,1,6.42
2992,451,1,0.19,0.27,43.9,-0.123,1.05807,3.5,0.39,11.2,R,1,**,3,1.82
2993,540,1,1.57,1.94,47.7,0.402,1.0825,3.2,-0.89,10.4,r,3,*,3,1.68
2994,0,0,0.28,-1.51,-38,-0.356,1.03522,4.25,-0.45,8.5,B,4,*,3,1.28
2997,525,1,0.22,0.38,14.8,0.054,0.95728,3.22,0.5,12.3,B,4,**,2,3.75
2998,538,1,1.5,-0.55,64.8,-0.348,0.97311,3.38,0.4,11.5,R,1,**,2,4.56
3001,867,1,-1.02,-0.06,14.9,0.032,1.08317,,0.61,8.9,r,3,**,,1
3002,525,1,1.6,0.16,13.1,0.072,1.04275,2.13,0.85,9.4,M,3,***,1,3.28
3003,566,1,1.58,0.9,1.5,-0.403,0.99001,2.57,0.54,9.7,m,2,**,3,1.34
3004,1321,1,1.07,-1.34,-6.5,0.365,1.03741,2.76,0.46,8.9,MB,3,****,1,2.9
3008,653,1,0.32,-2.33,12.7,0.04,1.0602,3.3,-0.07,11.7,r,3,*,2,1
3009,617,1,-0.38,-1.15,31,-0.128,0.97479,3.23,2.18,11.3,R,3,****,2,1.85
3012,999,1,0.37,0.3,17.6,0.033,0.98894,3.14,-0.21,15.7,R,2,****,2,2.46
3014,0,0,-2.42,-0.08,25.9,0.07,0.9978,2.33,0.71,9.3,M,5,?,1,2.98
3016,509,1,0.38,0.33,20.1,0.509,1.03903,3.03,0.44,14,R,3,**,3,1.13
3017,579,1,0.28,1.04,11.8,0.67,0.97087,3.19,0.01,11.8,R,3,*,,1.77
3025,223,1,0.2,0.47,99999,0.593,0.99944,1.33,0.35,21,M,3,**,3,1.32
3031,1341,1,0.29,-0.6,7,0.042,0.95708,3.26,1.78,13.8,B,3,***,3,1.64
3035,0,0,0.26,0.37,56.2,0.047,0.9982,,0.72,18.9,M,3,?,2,1.34
